,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
Chinook,1975,1975,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,399
Chinook,1975,1975,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,700
Chinook,1975,1975,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,725
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,"1,000"
Chinook,1975,1975,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"1,200"
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,208"
Chinook,1975,1975,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"1,501"
Chinook,1975,1975,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"1,600"
Chinook,1975,1975,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,700"
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,"1,973"
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,994"
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"5,265"
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"5,641"
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"7,412"
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"34,200"
Chinook,1975,1975,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"52,248"
Chinook,Nov 1974 - Apr 1975,1975,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"18,324"
Chinook,Nov 1974 - Apr 1975,1975,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,937
Chinook,1975,1975,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,691
Chinook,1975,1975,Spring,Central Valley,,Snorkel,Butte Creek,,,,650
Chinook,1975,1975,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,3
Chinook,1975,1975,Spring,Central Valley,,In-River Count,Mill Creek,,,,"3,500"
Chinook,1975,1975,Spring,Central Valley,,In-River Count,Deer Creek,,,,"8,500"
Chinook,1975,1975,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"10,234"
Chinook,Dec 1974 - Aug 1975,1975,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,851
Chinook,Dec 1974 - Aug 1975,1975,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"22,579"
Chinook,Dec 1974 - Aug 1975,1975,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,500
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"56,802"
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"23,159"
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"2,297"
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"3,147"
Chinook,1976,1976,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,18
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Toomes Creek,,,,20
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,60
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,149"
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Coyote Creek,,,,160
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,167
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,245
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,315
Chinook,1976,1976,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,455
Chinook,1976,1976,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,600
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,640
Chinook,1976,1976,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,700
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,726
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,013"
Chinook,1976,1976,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,200"
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,430"
Chinook,1976,1976,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"1,700"
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,"1,882"
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"2,427"
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"3,779"
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"5,198"
Chinook,1976,1976,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"5,215"
Chinook,1976,1976,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"36,100"
Chinook,1976,1976,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"43,604"
Chinook,Nov 1975 - Apr 1976,1976,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"15,814"
Chinook,Nov 1975 - Apr 1976,1976,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,94
Chinook,1976,1976,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,699
Chinook,1976,1976,Spring,Central Valley,,Snorkel,Butte Creek,,,,46
Chinook,1976,1976,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"25,095"
Chinook,Dec 1975 - Aug 1976,1976,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,"2,067"
Chinook,Dec 1975 - Aug 1976,1976,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"33,029"
Chinook,Dec 1975 - Aug 1976,1976,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,500
Chinook,1977,1977,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"37,668"
Chinook,1977,1977,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"41,605"
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"5,244"
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"5,604"
Chinook,1977,1977,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,0
Chinook,1977,1977,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,0
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,392
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Toomes Creek,,,,120
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Coyote Creek,,,,200
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,220
Chinook,1977,1977,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,250
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,318
Chinook,1977,1977,Fall,San Joaquin River,,In-River Count,Merced River,,,,350
Chinook,1977,1977,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,450
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,660
Chinook,1977,1977,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,661
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,362"
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,512"
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,669"
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,"3,146"
Chinook,1977,1977,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"6,868"
Chinook,1977,1977,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"8,722"
Chinook,1977,1977,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"8,784"
Chinook,1977,1977,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"15,784"
Chinook,1977,1977,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"44,074"
Chinook,Nov 1976 - Apr 1977,1977,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,914
Chinook,Nov 1976 - Apr 1977,1977,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"8,678"
Chinook,Nov 1976 - Apr 1977,1977,Late-Fall,Sacramento River,,In-River Count,Salt Creek,,,,245
Chinook,Nov 1976 - Apr 1977,1977,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,532
Chinook,1977,1977,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,185
Chinook,1977,1977,Spring,Central Valley,,Snorkel,Butte Creek,,,,100
Chinook,1977,1977,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,100
Chinook,1977,1977,Spring,Central Valley,,In-River Count,Deer Creek,,,,340
Chinook,1977,1977,Spring,Central Valley,,In-River Count,Mill Creek,,,,460
Chinook,1977,1977,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"11,545"
Chinook,Dec 1976 - Aug 1977,1977,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,744
Chinook,Dec 1976 - Aug 1977,1977,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"16,470"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"33,000"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"12,929"
Chinook,1978,1978,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"1,882"
Chinook,1978,1978,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"1,770"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,20
Chinook,1978,1978,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,50
Chinook,1978,1978,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,60
Chinook,1978,1978,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,90
Chinook,1978,1978,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,100
Chinook,1978,1978,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,100
Chinook,1978,1978,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,300
Chinook,1978,1978,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,486
Chinook,1978,1978,Fall,San Joaquin River,,In-River Count,Merced River,,,,525
Chinook,1978,1978,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,600
Chinook,1978,1978,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,120"
Chinook,1978,1978,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"1,300"
Chinook,1978,1978,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"2,052"
Chinook,1978,1978,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,"2,085"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"4,759"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"7,416"
Chinook,1978,1978,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"8,162"
Chinook,1978,1978,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"32,235"
Chinook,1978,1978,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"45,921"
Chinook,Nov 1977 - Apr 1978,1978,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"11,767"
Chinook,Nov 1977 - Apr 1978,1978,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,712
Chinook,1978,1978,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,202
Chinook,1978,1978,Spring,Central Valley,,Snorkel,Butte Creek,,,,128
Chinook,1978,1978,Spring,Central Valley,,In-River Count,Feather River,,,,2
Chinook,1978,1978,Spring,Central Valley,,In-River Count,Mill Creek,,,,925
Chinook,1978,1978,Spring,Central Valley,,In-River Count,Deer Creek,,,,"1,200"
Chinook,1978,1978,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"5,669"
Chinook,Dec 1977 - Aug 1978,1978,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,127
Chinook,Dec 1977 - Aug 1978,1978,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"24,735"
Chinook,Dec 1977 - Aug 1978,1978,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,150
Chinook,1979,1979,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"28,415"
Chinook,1979,1979,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"37,315"
Chinook,1979,1979,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"8,729"
Chinook,1979,1979,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,430"
Chinook,1979,1979,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,53
Chinook,1979,1979,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,110
Chinook,1979,1979,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,150
Chinook,1979,1979,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,227
Chinook,1979,1979,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,507
Chinook,1979,1979,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,780
Chinook,1979,1979,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,810
Chinook,1979,1979,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"1,000"
Chinook,1979,1979,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"1,183"
Chinook,1979,1979,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,920"
Chinook,1979,1979,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"2,456"
Chinook,1979,1979,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"4,090"
Chinook,1979,1979,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"10,351"
Chinook,1979,1979,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"12,430"
Chinook,1979,1979,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"47,758"
Chinook,1979,1979,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"64,932"
Chinook,Nov 1978 - Apr 1979,1979,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"9,572"
Chinook,Nov 1978 - Apr 1979,1979,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,712
Chinook,1979,1979,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,250
Chinook,1979,1979,Spring,Central Valley,,Snorkel,Butte Creek,,,,10
Chinook,1979,1979,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"2,856"
Chinook,Dec 1978 - Aug 1979,1979,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,25
Chinook,Dec 1978 - Aug 1979,1979,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"2,339"
Chinook,1980,1980,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"31,605"
Chinook,1980,1980,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"34,259"
Chinook,1980,1980,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"9,503"
Chinook,1980,1980,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,940"
Chinook,1980,1980,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,100
Chinook,1980,1980,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,157
Chinook,1980,1980,Fall,Sacramento River,RBDD to Princeton Ferry,Transfer,Sacramento River Main Stem,Tehama Colusa Fish Facility,RBDD,,175
Chinook,1980,1980,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,200
Chinook,1980,1980,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,210
Chinook,1980,1980,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,320
Chinook,1980,1980,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,559
Chinook,1980,1980,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,639
Chinook,1980,1980,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"1,865"
Chinook,1980,1980,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"2,592"
Chinook,1980,1980,Fall,San Joaquin River,,In-River Count,Merced River,,,,"2,849"
Chinook,1980,1980,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"3,690"
Chinook,1980,1980,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"12,406"
Chinook,1980,1980,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"15,543"
Chinook,1980,1980,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"21,961"
Chinook,1980,1980,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"28,413"
Chinook,Nov 1979 - Apr 1980,1980,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"8,347"
Chinook,Nov 1979 - Apr 1980,1980,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,746
Chinook,1980,1980,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,269
Chinook,1980,1980,Spring,Central Valley,,Snorkel,Butte Creek,,,,226
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Feather River,,,,400
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,6
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Yuba River,,,,200
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Mill Creek,,,,500
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Deer Creek,,,,"1,500"
Chinook,1980,1980,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"9,363"
Chinook,Dec 1979 - Aug 1980,1980,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,14
Chinook,Dec 1979 - Aug 1980,1980,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,142"
Chinook,1981,1981,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"44,738"
Chinook,1981,1981,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"43,462"
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"10,272"
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"6,933"
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Craig Creek,,,,100
Chinook,1981,1981,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,951"
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Stoney Creek,,,,393
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,407
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,820
Chinook,1981,1981,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,924
Chinook,1981,1981,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"1,000"
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,020"
Chinook,1981,1981,Fall,Sacramento River,RBDD to Princeton Ferry,Hatchery,Sacramento River Main Stem,Tehama Colusa Fish Facility,,,"2,384"
